X,Y,OBJECTID,NOMBRE,icon_url
-68.9104267901013,-33.3074755004045,"11",Pozo Ug-53,./0.png
-68.9168459598062,-33.3056381003724,"12",Pozo Ug-52,./0.png
-68.7803830348869,-33.5133061242189,"19",Batería Ceferino,./0.png
-68.4139401900407,-33.548939598413,"21",PTC Vizcacheras,./0.png
-68.5001521572649,-33.4961583220161,"22",PIAS 5 Cañada Dura,./0.png
-68.9290015705229,-33.2942583798758,"23",Pozo Ug-103,./0.png
-68.8205202297592,-33.2788578099737,"24",Pozo Ug-99,./0.png
-68.8149296402529,-33.2767710703893,"25",Pozo Ug-135,./0.png
-68.7668459422507,-33.1629276848484,"26",Descargadero B-104,./0.png
-68.9080055767368,-33.2786326072596,"27",Planta Ugarteche 1,./0.png
-68.9071805985001,-33.2797986939708,"28",Descargadero Ugarteche 1,./0.png
