X,Y,IDPC,DESCPC,NPC,icon_url
-68.4204961919999,-33.5502918559999,Oficinas VIZCACHERAS YPF,Oficinas,Oficinas VIZCACHERAS,./0.png
-68.7774972909999,-33.1269233119999,PC-B- 2927,Predio Contratista,PC-B-,./0.png
-68.4215665619999,-33.5500462539999,Alamacen VI 3001,Almacén,ALM-VI,./0.png
-68.7816949379999,-33.1366053109999,ALM-B- 3178,Almacén,ALM-B-,./0.png
-68.7796317479999,-33.1372885239999,ALM-B- 3179,Almacén,ALM-B-,./0.png
-68.7717209389999,-33.1382542019999,Predio BARBAGALLO 3219,Predio Contratista,Predio BARBAGALLO,./0.png
-68.9078253779999,-33.2793154779999,Oficina UGARTECHE YPF,Oficinas,OFI-UGARTECHE 1U,./0.png
-68.7816655679999,-33.1355920889999,ALM-B- 3284,Almacén,ALM-B-,./0.png
-68.4612744309999,-33.5051895509999,Puesto N°-1 Vizcacheras,Puesto Control,PUESTO CONTROL VIZCACHERAS,./0.png
-68.7681672779999,-33.2149538229999,Predio Oficinas 3505,Construcción,Sin Nombre,./0.png
-68.7772372179999,-33.1270315459999,Construcción 3647,Construcción,Construcción,./0.png
-68.7722412489999,-33.1390332029999,Predio SKANSKA 3648,Predio Contratista,Predio SKANSKA,./0.png
-68.7724941979999,-33.138476238,PC-AESA 3649,Predio Contratista,PC-AESA,./0.png
-68.7991123309999,-33.1087938009999,Puesto N°-1 Barrancas,Puesto Control,PUESTO,./0.png
-68.7670520759999,-33.1412772299999,Oficina Casa 1 YPF,Oficinas,OFICINAS,./0.png
-68.7743093459999,-33.1404880099999,Enfermería,Edificio,EDIFICIO,./0.png
-68.7842546429999,-33.1348485409999,TSB- Rezagos,Edificio,EDIFICIO,./0.png
-68.7721892469999,-33.1390688489999,Obrador AESA-INTEGRA,Obrador,OBRADOR,./0.png
-68.7723671999999,-33.1384600049999,Comedor Contrastistas,Edificio,EDIFICIO,./0.png
-68.7773548359999,-33.1376352209999,Obrador Control,Obrador,OBRADOR,./0.png
-68.7722259849999,-33.1382169509999,Obrador Telebit,Obrador,OBRADOR,./0.png
-68.7716420219999,-33.1387509849999,Obredor Conevial,Obrador,OBRADOR,./0.png
-68.7720628359999,-33.1383778919999,Obrador UTE,Obrador,OBRADOR,./0.png
-68.7716983579999,-33.1383693049999,Tallerres Barbagallo,Edificio,EDIFICIO,./0.png
-68.7784421149999,-33.1298820859999,Obrador Emepa,Obrador,OBRADOR,./0.png
-68.7102893999999,-33.2628981429999,SET LC-35,Edificio,EDIFICIO,./0.png
-68.7731618099999,-33.1408046759999,Oficinas AESA,Oficinas,OFICINAS,./0.png
-68.7798294909999,-33.1264514669999,Obrador Electrocorp,Obrador,OBRADOR,./0.png
-68.7782922799999,-33.1373764509999,Almacenes Barrancas YPF,Almacén,ALMACEN,./0.png
-68.7757428729999,-33.1410293729999,Bomba de Combustible,Edificio,EDIFICIO,./0.png
-68.7770090639999,-33.1274913079999,Oficina PCG Barrancas,Edificio,EDIFICIO,./0.png
-68.7689618859999,-33.1971377229999,Planta Agua B-153,Edificio,EDIFICIO,./0.png
-68.7764815469999,-33.1394426829999,Oficinas Malargue YPF,Oficinas,OFICINAS,./0.png
-68.7753411699999,-33.1394315279999,Comedor YPF,Edificio,EDIFICIO,./0.png
-68.7733903179999,-33.1388775799999,SET B-1,Edificio,EDIFICIO,./0.png
-68.7752653439999,-33.1395574439999,Oficinas Informática,Oficinas,OFICINAS,./0.png
-68.7664304819999,-33.1593063869999,Planta Agua Brecha Verde,Edificio,EDIFICIO,./0.png
-68.7714118559999,-33.1617808209999,Obrador Symec,Obrador,OBRADOR,./0.png
-68.7884382459999,-33.0794594259999,Puesto N°-4 Estructura C. Piedra,Puesto Control,PUESTO,./0.png
-68.7865565989999,-33.1538992589999,Planta Ecogestión,Edificio,EDIFICIO,./0.png
-68.7874721739999,-33.1555311999999,Repositorio B-12,Edificio,EDIFICIO,./0.png
-68.7797270479999,-33.1266797199999,Obrador Temis,Obrador,OBRADOR,./0.png
-68.7050809779999,-33.2699542299999,Puesto N°-3 Barrancas,Puesto Control,PUESTO,./0.png
-68.8000191449999,-33.0682842469999,Obrador Sedin,Obrador,OBRADOR,./0.png
-68.8130290629999,-33.0580900329999,Obrador Capac,Obrador,Obrador,./0.png
-68.8131277939999,-33.0574098279999,Batería ECP-2,Edificio,Edificio,./0.png
-68.7725982769999,-33.1385347549999,Vestuarios,Edificio,EDIFICIO,./0.png
-68.7879656689999,-33.1770551979999,Planta B-87,Edificio,EDIFICIO,./0.png
-68.7822415689999,-33.1347913819999,Tenaris,Edificio,EDIFICIO,./0.png
-68.7743522009999,-33.1403628419999,Oficinas GIT SAT,Edificio,EDIFICIO,./0.png
-68.7762196809999,-33.1392722369999,Oficinas Rivadavia YPF,Oficinas,OFICINAS,./0.png
-68.7759616949999,-33.1389705869999,Oficinas Escuelita,Oficinas,OFICINAS,./0.png
-68.7755361239999,-33.1390592819999,Oficinas Luján de Cuyo YPF,Oficinas,OFICINAS,./0.png
-68.7759779559999,-33.1395461499999,Oficinas Maipú YPF,Oficinas,OFICINAS,./0.png
