X,Y,NOMBRE,NOMBRE_COR,TIPO,icon_url
-68.7684668387327,-33.1969415387781,Planta de Inyeccion Barrancas 153,PIA-B-153,Planta de inyeccion de agua,./0.png
-68.387987079157,-33.61466597733,Planta de Inyeccion Vizcacheras 03,PIA-VI-03,Planta de inyeccion de agua,./0.png
-68.7777178826549,-33.1278751469784,Planta Compresora Gas Barrancas 01,PCG-B-01,Planta compresora de gas,./0.png
-68.4151041661031,-33.5470496832599,Planta Compresora Gas Vizcacheras 01,PCG-VI-01,Planta compresora de gas,./0.png
-68.7653005800403,-33.1605279135521,Planta de Tratamiento Crudo Barrancas 104,PTC-B-104,Planta de tratamiento de crudo,./0.png
-68.7309450251938,-33.2231786184032,Planta Inyeccion  Lunlunta Carrizal 01,PIA-LC-04,Planta de inyeccion de agua,./0.png
-68.4183141332958,-33.549812181747,Planta de Inyeccion Vizcacheras 05,PIA-VI-05,Planta de inyeccion de agua,./0.png
-68.9663455173467,-33.3061947384152,Planta de Inyección Ugarteche 03,PIA-UG-03,Planta de inyeccion de agua,./0.png
-68.4171015662005,-33.5491762807762,Planta de Tratamiento Crudo Vizcacheras 01,PTC-VI-01,Planta de tratamiento de crudo,./0.png
-68.4182392523169,-33.5499522508385,Planta de Inyeccion Vizcacheras 04,PIA-VI-04,Planta de inyeccion de agua,./0.png
-68.4183590000297,-33.5497014225873,Planta de Inyeccion Vizcacheras 01,PIA-VI-01,Planta de inyeccion de agua,./0.png
-68.7657302792109,-33.1585886043992,Planta de Inyeccion Brecha Verde 01,PTA BV-01,Planta de tratamiento de agua,./0.png
-68.7880719883901,-33.1769205950143,Planta Tratamiento de Agua Barrancas 87,PTA-BCA-87,Planta de tratamiento de agua,./0.png
-68.4999723451258,-33.4955675283498,Planta de Inyeccion Cañada Dura 05,PIA-CD-05,Planta de inyeccion de agua,./0.png
-68.4161967669891,-33.5485597005397,Planta de Inyeccion Vizcacheras 02,PIA-VI-02,Planta de inyeccion de agua,./0.png
-68.9071600408741,-33.2787419368151,Planta de Tratamiento Crudo Ugarteche 01,PTC-UG-01,Planta de tratamiento de crudo,./0.png
