X,Y,sigla,idpozo,area,yacimiento,cota,clasificac,subclasifi,tipopozo,tipoextrac,tipoestado,icon_url
-68.71496432,-33.28762236,AS.Md.RT-24,"122444",RIO TUNUYAN,RIO TUNUYAN,750.059999999999945,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.71323799,-33.28439551,AS.Md.RT-25,"122445",RIO TUNUYAN,RIO TUNUYAN,755.769999999999982,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.77535556,-33.13229513,YPF.Md.B-6,"123491",BARRANCAS,BARRANCAS,883.210000000000036,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,A Abandonar,./0.png
-68.77540802,-33.1285263,YPF.Md.B-7,"123492",BARRANCAS,BARRANCAS,868.149999999999977,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.775915,-33.15252022,YPF.Md.B-64,"123547",BARRANCAS,BARRANCAS,880.490000000000009,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.76957434,-33.19957778,YPF.Md.B-153,"146392",BARRANCAS,BARRANCAS,914.529999999999973,EXPLORACION,EXPLORACION,Otro tipo,Electrosumergible,A Abandonar,./0.png
-68.70289101,-33.28793987,AS.Md.RT-26,"122446",RIO TUNUYAN,RIO TUNUYAN,752.139999999999986,EXPLOTACION,DESARROLLO,Petrolífero,Electrosumergible,Extracción Efectiva,./0.png
-68.70748828,-33.28948192,AS.Md.RT-27,"122447",RIO TUNUYAN,RIO TUNUYAN,748.259999999999991,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.40415968,-33.59100873,YPF.Md.Vi-1024,"122279",VIZCACHERAS,VIZCACHERAS,898.000000000000000,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.71263461,-33.29388207,AS.Md.RT-28,"122448",RIO TUNUYAN,RIO TUNUYAN,746.370000000000005,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.69239841,-33.2799698,AS.Md.RT-29,"122449",RIO TUNUYAN,RIO TUNUYAN,748.429999999999950,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.35413007,-33.60996109,AS.Md.Vi.a-1012,"122328",VIZCACHERAS,VIZCACHERAS,846.000000000000000,EXPLOTACION,AVANZADA,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.69373255,-33.28333618,AS.Md.RT-30,"122450",RIO TUNUYAN,RIO TUNUYAN,765.919999999999959,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.69066788,-33.28594134,AS.Md.RT-32,"122451",RIO TUNUYAN,RIO TUNUYAN,754.740000000000009,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.69201729,-33.28945825,AS.Md.RT-33,"122452",RIO TUNUYAN,RIO TUNUYAN,767.919999999999959,EXPLOTACION,DESARROLLO,Otro tipo,Bombeo Mecánico,En Estudio,./0.png
-68.69310673,-33.29298767,AS.Md.RT-34,"122453",RIO TUNUYAN,RIO TUNUYAN,775.509999999999991,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,En Estudio,./0.png
-68.72296352,-33.28915465,AS.Md.RT-36,"122454",RIO TUNUYAN,RIO TUNUYAN,762.470000000000027,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.71753239,-33.28494569,AS.Md.RT-37,"122455",RIO TUNUYAN,RIO TUNUYAN,759.370000000000005,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,En Estudio,./0.png
-68.45530039,-33.52438001,AS.Md.Vi.a-1014,"122329",VIZCACHERAS,VIZCACHERAS,928.450000000000045,EXPLOTACION,AVANZADA,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.71586991,-33.29108345,AS.Md.RT-38,"122456",RIO TUNUYAN,RIO TUNUYAN,750.389999999999986,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.72700135,-33.29055146,AS.Md.RT-39,"122457",RIO TUNUYAN,RIO TUNUYAN,777.460000000000036,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.49098309,-33.48701845,YPF.Md.CD-34,"122330",VIZCACHERAS,CAÑADA DURA,953.070000000000050,EXPLOTACION,DESARROLLO,Petrolífero,Electrosumergible,Extracción Efectiva,./0.png
-68.71222845,-33.28109591,AS.Md.RT-40,"122458",RIO TUNUYAN,RIO TUNUYAN,758.120000000000005,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.71097735,-33.27727685,AS.Md.RT-41,"122459",RIO TUNUYAN,RIO TUNUYAN,753.029999999999973,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
-68.38687284,-33.5781995,YPF.Md.Vi-1021,"122355",VIZCACHERAS,VIZCACHERAS,879.769999999999982,EXPLOTACION,DESARROLLO,Petrolífero,Electrosumergible,Extracción Efectiva,./0.png
-68.71026794,-33.29624497,AS.Md.RT-42,"122460",RIO TUNUYAN,RIO TUNUYAN,774.629999999999995,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,En Estudio,./0.png
-68.40571394,-33.55571063,YPF.Md.Vi-275,"122382",VIZCACHERAS,VIZCACHERAS,873.350000000000023,EXPLOTACION,DESARROLLO,Petrolífero,Electrosumergible,Extracción Efectiva,./0.png
-68.35909422,-33.58597518,YPF.Md.Vi-178,"122672",VIZCACHERAS,VIZCACHERAS,842.779999999999973,EXPLOTACION,DESARROLLO,Otro tipo,Electrosumergible,A Abandonar,./0.png
-68.70130869,-33.29472102,AS.Md.RT-14,"122434",RIO TUNUYAN,RIO TUNUYAN,784.700000000000045,EXPLOTACION,DESARROLLO,Petrolífero,Electrosumergible,Extracción Efectiva,./0.png
-68.69714628,-33.29405086,AS.Md.RT-15,"122435",RIO TUNUYAN,RIO TUNUYAN,790.779999999999973,EXPLOTACION,DESARROLLO,Petrolífero,Electrosumergible,Extracción Efectiva,./0.png
-68.69603753,-33.2904035,AS.Md.RT-16,"122436",RIO TUNUYAN,RIO TUNUYAN,781.669999999999959,EXPLOTACION,DESARROLLO,Petrolífero,Electrosumergible,Extracción Efectiva,./0.png
-68.6950639,-33.28691559,AS.Md.RT-17,"122437",RIO TUNUYAN,RIO TUNUYAN,778.559999999999945,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,En Estudio,./0.png
-68.69675176,-33.28109582,AS.Md.RT-18,"122438",RIO TUNUYAN,RIO TUNUYAN,753.850000000000023,EXPLOTACION,DESARROLLO,Petrolífero,Sin Sistema de Extracción,Parado Alta Relación Agua/Petróleo,./0.png
-68.69954158,-33.27827904,AS.Md.RT-19,"122439",RIO TUNUYAN,RIO TUNUYAN,744.870000000000005,EXPLOTACION,DESARROLLO,Otro tipo,Sin Sistema de Extracción,Abandonado,./0.png
